Error,Fingerprint Selection,NN Type,,,,,
2.787292246,All,SNN,,,9.924803204,Active,SNN
3.257769248,All,SNN,,,,,
2.719588684,All,SNN,,,,,
2.742100656,All,SNN,,,,,
2.869273711,All,SNN,,,,,
2.82657369,All,SNN,,,,,
2.717557181,All,SNN,,,,,
2.705633643,All,SNN,,,,,
3.166050152,All,SNN,,,,,
2.799265701,All,SNN,,,,,
2.789618871,All,SNN,,,,,
3.031683264,All,SNN,,,,,
2.825908662,All,SNN,,,,,
2.895077857,All,SNN,,,,,
2.879610426,All,SNN,,,,,
3.102546195,All,SNN,,,,,
2.998147477,All,SNN,,,,,
2.84633895,All,SNN,,,,,
2.841350053,All,SNN,,,,,
2.776265705,All,SNN,,,,,
2.938593096,All,SNN,,,,,
2.848208265,All,SNN,,,,,
2.826255814,All,SNN,,,,,
2.821821179,All,SNN,,,,,
2.830100756,All,SNN,,,,,
2.800355391,All,SNN,,,,,
3.176341006,All,SNN,,,,,
2.833107517,All,SNN,,,,,
3.059084439,All,SNN,,,,,
2.824583266,All,SNN,,,,,
3.187339091,Random,SNN,,,,,
3.102568756,Random,SNN,,,,,
3.830273289,Random,SNN,,,,,
3.128301306,Random,SNN,,,,,
3.092986422,Random,SNN,,,,,
3.265178785,Random,SNN,,,,,
3.18234869,Random,SNN,,,,,
3.023425735,Random,SNN,,,,,
3.846719689,Random,SNN,,,,,
4.310821217,Random,SNN,,,,,
3.352403602,Random,SNN,,,,,
3.186924653,Random,SNN,,,,,
3.122494754,Random,SNN,,,,,
3.233246683,Random,SNN,,,,,
3.659783798,Random,SNN,,,,,
3.020978554,Random,SNN,,,,,
3.136306373,Random,SNN,,,,,
3.337540402,Random,SNN,,,,,
3.225931331,Random,SNN,,,,,
3.305162327,Random,SNN,,,,,
3.374062453,Random,SNN,,,,,
2.748021096,Random,SNN,,,,,
3.078556507,Random,SNN,,,,,
3.572397381,Random,SNN,,,,,
3.200988779,Random,SNN,,,,,
3.694085453,Random,SNN,,,,,
3.084698556,Random,SNN,,,,,
3.259803695,Random,SNN,,,,,
3.328770583,Random,SNN,,,,,
3.115330466,Random,SNN,,,,,
3.031650131,All,DNN,,,,,
3.094896728,All,DNN,,,,,
3.161145683,All,DNN,,,,,
2.887103024,All,DNN,,,,,
2.985894231,All,DNN,,,,,
3.185028439,All,DNN,,,,,
4.044356202,All,DNN,,,,,
3.046088165,All,DNN,,,,,
3.315160077,All,DNN,,,,,
2.929502517,All,DNN,,,,,
2.816924998,All,DNN,,,,,
3.013131179,All,DNN,,,,,
3.265327457,All,DNN,,,,,
3.075691849,All,DNN,,,,,
3.116552977,All,DNN,,,,,
2.878024158,All,DNN,,,,,
3.121839129,All,DNN,,,,,
2.912698361,All,DNN,,,,,
3.089769312,All,DNN,,,,,
2.868905856,All,DNN,,,,,
2.907616412,All,DNN,,,,,
2.86706501,All,DNN,,,,,
3.232988339,All,DNN,,,,,
3.931396458,All,DNN,,,,,
2.924770132,All,DNN,,,,,
2.914453994,All,DNN,,,,,
2.863883019,All,DNN,,,,,
3.0201901,All,DNN,,,,,
2.650553333,All,DNN,,,,,
3.606416858,All,DNN,,,,,
2.958301991,Random,DNN,,,,,
3.669105562,Random,DNN,,,,,
3.21167732,Random,DNN,,,,,
3.266430072,Random,DNN,,,,,
3.368674098,Random,DNN,,,,,
3.115556659,Random,DNN,,,,,
3.180746543,Random,DNN,,,,,
2.94276525,Random,DNN,,,,,
3.356615779,Random,DNN,,,,,
2.822349905,Random,DNN,,,,,
3.196581078,Random,DNN,,,,,
3.003074399,Random,DNN,,,,,
2.910154105,Random,DNN,,,,,
3.164852256,Random,DNN,,,,,
3.231688335,Random,DNN,,,,,
3.19566094,Random,DNN,,,,,
3.116078458,Random,DNN,,,,,
3.375996899,Random,DNN,,,,,
3.272424658,Random,DNN,,,,,
3.470906331,Random,DNN,,,,,
3.28430735,Random,DNN,,,,,
3.567559352,Random,DNN,,,,,
3.425188316,Random,DNN,,,,,
