Error,Fingerprint Selection,NN Type
2.133327755,All,SNN
2.095332305,All,SNN
2.114174314,All,SNN
2.307389353,All,SNN
2.096337975,All,SNN
2.257303236,All,SNN
2.055550411,All,SNN
2.103340669,All,SNN
2.033256062,All,SNN
2.386531658,All,SNN
2.223000015,All,SNN
2.109258349,All,SNN
2.026965996,All,SNN
2.038979253,All,SNN
2.703573205,All,SNN
2.437117616,All,SNN
2.025567829,All,SNN
2.086912518,All,SNN
2.052496315,All,SNN
2.067140948,All,SNN
2.273304074,All,SNN
2.074279966,All,SNN
2.096232828,All,SNN
2.039452627,All,SNN
2.044912964,All,SNN
3.131188711,All,SNN
2.075762504,All,SNN
2.012043034,All,SNN
2.227283262,All,SNN
2.184539484,All,SNN
2.412741397,Random,SNN
2.338312885,Random,SNN
2.251268974,Random,SNN
2.256500349,Random,SNN
2.283880411,Random,SNN
2.138410455,Random,SNN
2.343321377,Random,SNN
2.236482627,Random,SNN
2.1628089,Random,SNN
2.438952139,Random,SNN
2.3617176,Random,SNN
2.218392246,Random,SNN
2.220111053,Random,SNN
2.248805128,Random,SNN
2.514335259,Random,SNN
2.256158913,Random,SNN
2.209071722,Random,SNN
2.276084867,Random,SNN
2.367555121,Random,SNN
5.05196018,Random,SNN
2.270164692,Random,SNN
2.266427408,Random,SNN
2.41488533,Random,SNN
2.236714448,Random,SNN
2.444832591,Random,SNN
2.385974314,Random,SNN
2.318618386,Random,SNN
2.3165838,Random,SNN
2.452777032,Random,SNN
2.072090495,Random,SNN
2.342023166,Active,SNN
2.229112858,Active,SNN
2.486765116,Active,SNN
2.64556718,Active,SNN
2.38816119,Active,SNN
2.495633009,Active,SNN
2.269832396,Active,SNN
2.287804646,Active,SNN
2.291567483,Active,SNN
2.932677028,Active,SNN
2.364103214,Active,SNN
2.357689821,Active,SNN
2.796193246,Active,SNN
2.339871809,Active,SNN
2.343342359,Active,SNN
2.307306986,Active,SNN
2.266973682,Active,SNN
2.254969972,Active,SNN
2.411272139,Active,SNN
2.165967391,Active,SNN
2.370286902,Active,SNN
2.275497239,Active,SNN
2.283705549,Active,SNN
2.315227133,Active,SNN
2.366340731,Active,SNN
2.18540272,Active,SNN
3.198044792,Active,SNN
2.325404152,Active,SNN
2.33069291,Active,SNN
2.33959231,Active,SNN
2.22536307,All,DNN
2.053123606,All,DNN
2.049738313,All,DNN
2.237540468,All,DNN
2.072469953,All,DNN
2.25868766,All,DNN
2.138118842,All,DNN
2.111079435,All,DNN
2.221532196,All,DNN
2.096004755,All,DNN
2.161775123,All,DNN
2.120033644,All,DNN
2.22779474,All,DNN
2.204387341,All,DNN
2.272394719,All,DNN
2.165807295,All,DNN
2.187790446,All,DNN
2.200173296,All,DNN
2.210509465,All,DNN
2.306390932,All,DNN
2.244041677,All,DNN
2.329369886,All,DNN
2.149394431,All,DNN
2.389372575,All,DNN
2.185977346,All,DNN
2.257287152,All,DNN
2.082679937,All,DNN
2.171472689,All,DNN
2.212380811,All,DNN
2.231130235,All,DNN
2.303501373,Random,DNN
2.280830104,Random,DNN
2.355421525,Random,DNN
2.273161023,Random,DNN
2.224961717,Random,DNN
2.317937991,Random,DNN
2.249634527,Random,DNN
2.316499681,Random,DNN
2.384384522,Random,DNN
2.209481048,Random,DNN
2.278763922,Random,DNN
2.362347857,Random,DNN
2.417586858,Random,DNN
2.171710502,Random,DNN
2.332166632,Random,DNN
2.252591766,Random,DNN
2.399067786,Random,DNN
2.460793231,Random,DNN
2.206113345,Random,DNN
2.152724475,Random,DNN
2.350169821,Random,DNN
2.26913676,Random,DNN
2.250520737,Random,DNN
2.256074207,Random,DNN
2.406607645,Random,DNN
2.076518793,Random,DNN
2.084590002,Random,DNN
2.350125109,Random,DNN
2.376454815,Random,DNN
2.422371127,Random,DNN
2.403751907,Active,DNN
2.230425659,Active,DNN
2.182628235,Active,DNN
2.438419455,Active,DNN
2.31348268,Active,DNN
2.216625285,Active,DNN
2.222125457,Active,DNN
2.414134366,Active,DNN
2.171379033,Active,DNN
2.184111965,Active,DNN
2.289271264,Active,DNN
2.257447215,Active,DNN
2.400463869,Active,DNN
2.346409796,Active,DNN
2.208025934,Active,DNN
2.318974479,Active,DNN
2.21589249,Active,DNN
2.188293473,Active,DNN
2.180457867,Active,DNN
2.306734401,Active,DNN
2.174989606,Active,DNN
2.096171589,Active,DNN
2.263045195,Active,DNN
2.283566944,Active,DNN
2.342837142,Active,DNN
2.128279858,Active,DNN
2.200910403,Active,DNN
2.162315009,Active,DNN
2.209987746,Active,DNN
2.403965927,Active,DNN
